bbox1,bbox2,bbox3,bbox4,text,articleID,category,note
0,3875,710,4131,,,,
0,0,404,404,,,,error
319,452,4797,517,,,separator,
329,482,4796,546,,,separator,
318,516,1179,629,THE TRINITY CHRONICLE,,meta,
313,721,1179,872,Published every TuEspay during the Scholastic Year by the CoLUMBIAN and HESPERIAN LITERARY SOCIETIES.,,meta,
315,659,1181,677,,,,
314,675,1182,694,,,,
312,904,1178,921,,,,
311,1017,1177,1034,,,,
301,931,1179,1718,"SUBSCRIPTION, —-— — ‘$1.50 per Year EDITORS HH, G. FOARD, — — Editor-in-Chief U.N HorrmMan, -_ Associate Editor B. S. WoMBLE, ~ Law and Alumni T. M. StoKEs, = ~ Locals H. B. COOPER, — ~ _ Athletics C. R. PuGu, Society and Y.M.C. A. H. EK. SPENCE, = — Squibs Miss Mary R. THomas, <— Comments MANAGERS T. G. STEM W. J. Justus",,meta,
299,1744,1167,1761,,,,
295,1787,1164,1952,"The Editors solicit from the Alumni communications and items of interest to the College, Alumni, and Undergraduates.",,meta,
293,1958,1160,2164,"Matter for Publication should be addressed ‘to tne Editor-in-Chief, and Business Comniunications to the Man agers,",,meta,
289,2178,1157,2445,"To insure publication, communications must be accompanied by the writer’s full name, and should be received not later than Friday before Tuesday, the day of publication.",,meta,
287,2459,1154,2613,"Checks and money orders should be made payable to either of the business managers,",,meta,
285,2626,1151,2725,Advertising Rates made known on application.,,meta,
283,2740,1152,2885,"SUBSCRIBERS WILI, PLEASE NOTIFY THE MANAGERS OF ANY CHANGE IN ADDRESS.",,meta,
284,2920,1152,2945,,,,
285,2942,1152,2963,,,,
284,2986,1149,3062,"DURHAM, N. C., Dec. 19, 1905",,meta,
284,3070,1151,3091,,,,
282,3088,1151,3109,,,,
443,3132,980,3187,INTRODUCTORY.,3,title,
281,3200,1148,3428,To the college community and to all those who take an interest in its well-being: Greetings! |:,3,text,
280,3429,1147,3930,"With the full vigor of a new life, unhindered by any obstruct ing, traditional, fungus growth, Tae Trinity CHRONICLE bursts into flower among you. Primarily, its purpose isto be the voice of a student-body hitherto",3,text,
277,3938,1143,4342,"Wa Warticulate voice,” ge life and activity imerent phases, and to promote and give expression to a manly, healthy sentiment among us.",3,text,
256,4374,1145,5879,"For several years such a publi cation has been the subject of much thought by members of the faculty and by students, but not until quite recently did this thought crystalize into definite form and receive the breath of life. ‘To best represent the student body as a whole, then, its future was placed in the hands of the Columbian and Hesperian Literary Societies of Trinity College, with the result that four men from each society were elected to compose its Board of Control. This board elected the staff of the paper and straightway published its first issue. All of which was done in less than ‘thanks to the zealous efforts of the staff. So much for the history ot its birth.",3,text,
320,5898,1117,5956,In chimerical aspect it comes to,3,text,
263,5682,532,5729,"two weeks,",3,text,segmentation error
248,5970,1116,6966,"you. Like a heretofore unknown creature; a centipede or thousand foot, likewise a thousand-HAnp. With its thousand feet it is well prepared to make rapid progress in all directions, yet also, when it is the order of the day, perhaps better fitted on these thousand feet, to Uestand ‘pat? Withedts thousand hands it grasps the hand of each of you, looks you squarely in the eye, introduces itself as THE TRINITY CHRONICLE, the purpose of its existence, and tells",3,text,
846,6849,982,6884,states,3,text,segmentation error
247,6983,1110,7183,"you what it expects of you. First of all, will fill much the same place in the",3,text,
636,7058,1110,7110,as this publication,3,text,segmentation error
248,7201,1112,7403,"community as a daily fills city, we will endeavor to pattern",3,text,
248,7200,420,7253,college,3,text,segmentation error
246,7274,1111,7324,newspaper in the town or,3,text,
246,7415,1110,7541,"it in some, necessarily, smal] way after those dailies which, in their",3,text,
1127,520,1205,7546,,,separator,
1210,551,2082,1257,"policy, are most worthy of emula tion! When occasion requires we intend to be as frank, free, and as outspoken as you please, yet do not think for a moment that we shall blindly take every occasion presenting itself for such an one and thresh about madly ina heter ogenous mass of verbiage, scatter ing indiscreet phrases and _ sen",3,text,
1206,1275,2072,1474,"tences in a shower about us. We shall give ourselves loose rein in condemning unworthy, little,",3,text,
1200,1491,2069,1832,"mean actions or issues and _like wise in commending those things wich: fend: to aenih’ «1s, 3 to strengthen us, to heighten our point of view, and to broaden our",3,text,
1198,1851,2062,1957,horizon. In our columns we shall earn,3,text,
1180,1988,2061,3704,"estly endeavor to treat all things fairly and squarely and look at al! things from North, South, East, and West, recommending all one sided subjects and issues to a generous supply of fresh air and sunshine, until the OTHER side is in proportion. To inculcate into our existence a “genuine love of Truth” and judge all things, whether true or false, in the light of this Truth. To make it as true and asaccurate a record of the life of our community as_ is possible. To be, not merely in the ranks, but the leader in movements for what is right and good. To fur nish a medium whereby those students most peculiarly fitted for it may enter into an elementary journalism and learn to express their thoughts more concisely, more clearly, and more inielligibly to their fellows.",3,text,
1165,3732,2045,5226,"As an experiment we shall devote, at times, space in these columns to that class of writings in which Mr. Isaac Erwin Avery was so eminently — successful, namely, comments on those things which come under our observation inthe course of every-day life. Perhaps we shall discover some among us who see more in life than its mere external, material show and who will show a keen appreciation of men and things about us. This is open to every one and we hope by means of it to stimulate the habit of SEEING. Thus to develop an habitually seeing class or class of seers in our midst, who will not be blind to things when they have gone out into the world of action.",3,text,
1162,5255,2027,5601,We shall keep a faithful record of your comings and goings and doings. if you are one who does things. Soweclose our Pandora’s Box and let you open yours.,3,text,
1157,5614,2023,6104,"First, we expect your hearty co-operation and support, so as to maintain a creditable paper in its every issue. Nothing worth while can be had without some expen diture. managers come to. you for your",3,text,
1362,5979,2018,6031,"Hence, when the business",3,text,segmentation error
1152,6121,2018,6468,"subscription, do not look mourn ful, with a far-away expression in your eyes, sadly shake your head and say: I'd like to, but No, you don’t want to; if you",3,text,
1849,6366,1971,6374,,,,
1150,6480,2015,6963,"did, you would. Neither spread your feet apart, assume a_ self confident, knowing air and declare that you know everything that happens hereabout without sub You i here};",3,text,
1778,6994,2012,7035,this com,3,text,segmentation error
1147,6843,2012,7398,"scribing to a college paper. are mistaken; you do not. is much happening in munity of which you know noth ing, and will know nothing, unless you are one who is in touch with the heart of every phase of college Part",3,text,
1911,7431,2008,7469,is in,3,text,
1146,7350,1836,7398,"life, and that no one man is.",3,text,
1147,7422,1853,7474,of cvery man’s education,3,text,
1146,7494,2008,7553,"knowing his surroundings, and",3,text,
1990,6344,2091,6387,4s,,,error
2027,528,2108,7556,,,,
2111,560,2987,1042,"you cannot afford to neglect this side of yourself. Hence, give in your name and we will do our best to hold up our end of the line. If you can contribute anything to our columns, contribute it, and if it has anything of merit in it we shall be glad to publish it.",3,text,
2103,1047,2974,1698,"And last, but not least, if you have any fault to find with us, do not talk about it to others, but come tous and tell us about it and we will try to remedy it. Suggestions, too, will be appre ciated and received in the kind liest spirit. Thus we come to you and thus we wish you to approach us.. Do we. understand each other?",3,text,
2099,1779,2965,2077,In the next issue of the paper will.be found the conditions under which its existence was made possible and the rules and regula tions governing it.,3,text,
2490,2110,2706,2126,,,,
2349,2113,2489,2123,,,,
2196,2161,2844,2218,HESPERIAN VS. COLUMBIAN.,1,title,continuation
2228,2262,2824,2310,(Continued from first page.),1,text,continuation
2070,2341,2958,4824,"prise existing. The Insurance Commissioner last month unani mously adopted the resolution that life insurance companies are conceded to be in a sound finan cial condition and that the sol vency of the companies has not been questioned: this, too, in the face of the severe test American life insurance companies are now undergoing, and in spite of every force calculated to inspire distrust and to weaken the companies. We venture to say that had the same influence been brought to bear upon a Federal Regulated Bank, it would have gone down to inevitable failure and would have been wiped out of existence. Says Mr. Barry, ‘‘No banking or corporate interest in the world, not even the bank of England, could have withstood such a shock.’* Wealso submit the fact, upon authority of Senator Buck ley, of Connecticut, that in 25 years only two life insurance com panies failed, whereas, in only 20 years Federal regulation has not prevented the failure of 418 Na tional Banks. A larger amount has been lost by the failure of banks under Federal Regulation than the total loss of life and fire insurance in the last forty years.",1,text,
2060,4825,2936,5718,"Under State supervision the companies are beneficial factors in our economic conditions. Mon ey accumulated by life insurance companies is not hoarded, but turned loose into the hands of people and is put into the most productive channels in the sim plest, most economical and least objectionable way. ‘This enor mous benefit is derived from the surplus of life insurance compan ies and is denounced by advocates of Federal regulation and con trol,",1,text,
2050,5737,2923,7194,"Federal regulation would be detrimental to the material inter ests in that it would lower the present cost of insurance. This cannot be done if insurance that insures is desired. The rates are based on the mathematics of 100 years. ‘The chief expense is get ting people to insure and this can not be reformed unless the world made over. But American rates are already much Cheaper than rates in either England or in France. They are nine per cent lower than French rates and France herself is about to estab lish a minimum premium rate and proposes to see that no com pany makes less than an adequate charge. ‘The danger of rates be ing too low is apparent, for in times of increased mortality, the policy-holders entire investment would be indanger. ‘The lower",1,text,
2047,7198,2914,7565,"ing of rates without regard to the prevailing conditions and to un certain mortality is the first de vice of weakness, the first resort of irresponsible optimism. The in terest of the policy—holder, which",1,text,
