bbox1,bbox2,bbox3,bbox4,text,articleID,category,note
0,2796,96,3476,,,,
120,5127,189,5240,: ee:,,,
233,2034,361,2065,"spite CII,",,,
375,2104,382,2116,~,,,
0,0,404,404,,,,
394,452,4899,532,,,,
392,765,1265,889,"Mr. Thomas Singleton, visited his brother, Monday.",5,text,
396,917,1268,1110,"At 1 o'clock Friday, the 22nd, the college will close for the holi days.",5,text,
397,1113,1267,1328,"Mr. U. N. Hoffman will visit Mr. W. A. Bryan during the holidays,",5,text,
397,1358,1263,1546,Messrs R. M. Gantt and K. B. Nixon leave for home on Wed nesday 20th.,5,text,
399,1575,1269,1756,"Mr. J. A. Long, Jr. ’05, of Rox boro, spent Sunday on the cam bus with friends.",5,text,
396,1793,1265,1987,"College exercises will be re sumed at 9 o'clock, Thursday, January 4, 1906.",5,text,
400,2009,1273,2253,"Mr. Numa E. Eure, of the FreshmanClass, left for his home at Beaufort last week on account of sickness.",5,text,
404,2287,1276,2530,"Mr. K. B. Nixon will spend part of the Christmas holidays with Mr. J. C, Gantt at his home at Belwood.",5,text,
471,2569,1277,2622,Mr. H.-C. Sherrill will go on,5,text,
365,2627,1279,2697,a trip to’ Winston and Mocks,5,text,
409,2688,1278,2808,ville for a week during the Christ mas recess.,5,text,
409,2844,1281,3096,"Rev. J. E. Underwood, of the Rockingham Station, spent sev eral days last week on the park as the guest of Dr. Kilgo.",5,text,
414,3122,1283,3379,“Found.—Raymond Browning has found a stick pin which the ownet can obtain by seeing him and proving his property.,5,text,
416,3401,1285,3652,"Mr. GP. Pope, whose home is in Arkansas, will spend the Christmas with Mr. Herman Walker, at Denmark, 5. C.",5,text,
419,3679,1289,3932,Mr. A. B. Duke has invited a party of friends to spend a por tion of the holidays at Carteret Lodge in Carteret County.,5,text,
423,3958,1292,4209,"Rev. C. M. Lance ’08, will wed Miss Ava M. Clendenin at the Christian church, Graham, Wed-— nesday, December 27th at noon.",5,text,
423,4234,1293,4483,"On the r5th.,.Mr. Paul Webb left for his home at Morehead City to attend the silver wedding of his sister, Mrs. C, S. Wallace.",5,text,
428,4515,1298,4759,"Messrs. Claude Flowers and W. M. Pegram, Jr.. expect to do some fine hunting near Taylorsville while the Christmas recess lasts.",5,text,
430,4793,1302,5108,"Mr. L. M. Johnston, of the Freshman Class, will spend his Christmas holidays visiting at his homeat Littleton, and in Louis— burg, and Petersburg, Va.",5,text,
