bbox1,bbox2,bbox3,bbox4,text,articleID,category,note
0,748,127,1556,,,,
246,5110,983,5176,_ stood by all the audience.,1,text,segmentation error
0,0,1172,552,,,,
320,617,1187,804,"ruins these smaller concerns. Finally, he opposed Federal reg ulation'and control because it would",1,text,
1203,592,2092,743,| He finally announced that the de | bate had been won by the Hespe,1,text,
1223,759,1541,814,rian Society.,1,text,
319,823,2089,906,be dangerous to the stability of the | The orchestra furnished music,1,text,segmentation error
318,905,1065,962,National government itself.,1,text,
273,972,1188,1036,--would encourage corruption by,1,text,
309,1052,1188,2191,"rendering detection less easy. Con trast the short terms of state com missioners with the long time the postal and land frauds existed be fore discovery. Fear of detection being the greatest preventive to crime, consider how enormously corruption would increase under Federal regulation. And increase in corrupiion under a government always means decrease in the sta bility of that government. In fact the mere placing of the life com panies in direct dependence upon the government would weaken it. For if it is to control them they",1,text,
308,2221,1179,2350,"will try to control it, thus directly opening the way for corruption.",1,text,
270,2366,1176,2420,_ All the railroad and trust Senators,1,text,
299,2439,1176,3576,"have been sent to Congress since it assumed power over their inter ests; and they have not only made regulation a farce, but’ have ex erted a force for corruption more dangerous than all else to the stability of our government. Shall we add the life insurance com panies to these corruptive forces? and now barely mentioning the socialism involved in the proposi tion of the affirmative, and the loss to the government of popular love and confidence resulting from the evils we have pointed out, the negative rests its case.",1,text,
293,3597,1173,4302,"“In brief, we have maintained and proven the policy of the affirmative from the standpoint of the policy-holders and their com panies, detrimental to the material interests; from the standpoint of the States and their citizens, sub versive of their rights; from the standpoint of the national govern ment, dangerous to its stability.”",1,text,
286,4319,1164,5944,"Each speaker was very easy on the floor considering that this was the first generally public debate they had appearedon. Mr, Phil lips, for some reason, lost his con nection at one point and had to refer to his manuscript. Mr. Wissburg, with a good voice, was somewhat handicapped in that he did not articulate so that his utter ances could at all times be under Not withstending the fact that he spoke under the impediment of a taw throat, Mr. Spence was able to make himself distinctly under stood by every one in the hall. Mr. Holton presented an easy familiarity with every phase of the subject, but he, like his col league, ran his words together so that they sometimes became in distinct.",1,text,
504,5984,929,6029,THE REJOINDER.,1,text,subtitle
284,6047,1157,6597,"On the rebuttal Messrs, Spence and Holton moved the audience to the highest pitch of excite ment. ‘The “hit” of the evening was made by Mr. Spence when in speaking of the milennium, he said that the only insurance that would be needed then would be",1,text,
291,6623,1152,6744,‘ite instirance.”’ Before the debate began the,1,text,
269,6756,1151,6809,‘members of the t wo societies vied,1,text,
283,6828,1152,7146,with each other in giving their respective yells. Again and again the volume rose to such a pitch that the auditorium echoed and re-echoed.,1,text,
281,7165,1151,7585,"The decision of the committee was rendered by Dr. Beaman. He, like all other judges, prolonged his remarks before making the announcement, during which time the waiting audience suffered quite a little by the intense strain.",1,text,
1147,904,1634,954,It for the occasion.,1,text,segmentation error
1166,1093,1208,7617,,,,
1215,904,2087,1177,"Their rendition while the judges were out was en joyed exceptionally,as it tended to alleviate the strain of waiting.",1,text,end
1696,1208,1831,1217,,,,
1506,1210,1614,1217,,,,
1200,1207,2085,1308,"“HR. D. A. TOMPKINS, OF CHARLOTTE,",2,title,continued
1208,1347,2085,1966,"(Continued fron first page. ) pensation of the white labor is beginning to approach what white labor might and ought to be able to earn, if left frée. trom the depreciating and degener ating influences of an alien and inferior labor, prosperous condi tions are returning to the South.",2,text,
1206,1982,2081,3057,"The Charlotte Observer lately published a map showing that within sixty miles of Charlotte there were in the” Yadkin, [Cas tawba and other streams, water powers available for economic de velopment which would produce 1,000,000 horse power. Tis is the equal in man power to 8, 000,000 Chinese coolies. ‘This resource and force, which is prac tically infinite for what power we want, is laid at our feet upon the condition that we will instruct and train our people to use them.",2,text,
1198,3072,2073,4859,"In discussing the subject of im migration it would seem to me, in one of its phases, a matter of coolies versus colleges. We have far more here in the South in the way of means of accomplishing work than we could get out of all the coolies in China. Besides the development being made by the Whitney Company on the Yadkin, Dr. Gill Wylie has made one of ten or fifteen thousand horse on the Catawba and is making another of forty or fifty thousand on the same _ stream, lower down. The aggregate of the Whitney development under Mr. Hambley and the Southern Power Company’s developments under Dr. Wylie approximate 100,000 horse power or the equal of 800,000 coolies for work— who can doubt in which direc tion wisdom would lead us for help to do our work.",2,text,
1192,4876,2066,5581,"Nothing I say about this sub ject restricting coolie immigra tion should be construed as hay ing anything to do with our com mercial relations with China nor should it be stretched to mean that our immigration laws should hinder or otherwise restrict the landing or movements of Chinese merchants, students, or travelers",2,text,
1166,5594,2061,5656,| different from their application,2,text,
1192,5668,2063,5866,with other people. Our com mercial relations and intercourse ought to be free and liberal.,2,text,
1185,5883,2062,7587,"If it be asked how the farmer can utilize the forces of the rivers to do farm work, the answer is there are other resources for power or work besides the rivers. The cotton picking machine is already devised to be run by gas oline. The reaper and mower does work by horse-power instead of hand power as of old. It is not the coolie versus water power, but the coolie versus the college, as before stated. The college when properly operated turns out the greatest resource and force of all, viz: the knowl edge and skill, first, to discover what the material forces and re sources that are about us are, and, second, to correlate their forces so as to make them do the work which cheap labor might do be sides a lot of work which cheap labor cannotdo. ‘oo find out our",2,text,
2121,615,2998,1455,"natural forces and resources is the task of the educated industrial workers and .the education and training of the industrial worker is the task @f the schools, col leges, and special organizations for study. Nothing I say must be con strued to mean that I oppose im migration of the right kind. I strongly favor immigration of those whose blood will cross with",2,text,
2116,1493,2989,2188,that of our people to mutual ad vantage and while the education is being accomplished necessary to a knowledge and development of our natural resources this su perior class of immigration can help us keep going’on the plan of individual man power as well as bringing some new strain in the blood of the American stock.,2,text,
2110,2215,2979,2850,The extremely difficult problem in connection with education is to find out what ccnstitutes the best education for a certain pur pose. With the best judgmeut we can use we often find that we have not measured the elements and their proper proportions aright.,2,text,
2104,2868,2975,3198,A lawyer was examining a phy sician who was a witness. The lawyer was pressing the doctor as to the probability of his being mistaken.,2,text,
2103,3229,2973,3722,"‘‘In your profession,’’ said the doctor, “you might make a very grave mistake and there is no way Of proving or measuring it, The -work of my profession is mostly exact science and if we make a mistake there is no way",2,text,
2103,3736,2967,3855,"to hide it.” “TY don’t know about that,”",2,text,
2098,3872,2972,4725,"said the lawyer. ‘‘Many people think you doctors do sometimes make nristakes, which you manage to cover up where they never come to light in this world,” said the lawyer with em phasis on the word ‘‘grave.’’ So with education and training even after the event we are often un able to determine whether the kind of education or whether in herent deficiencies in the youth",2,text,
2097,4742,2966,4861,caused the failure. No boy should be brought un,2,text,
